question_id,proposal
80,"ASL, Avatar Learning & Real-World Industrial Interaction - Further Development"
81,AI-Enabled full value audit and dashboard for sustainable exponential organisational growth
82,Sentiment Analysis - Celeste AI
83,ADABET.iO | Cardano Betting DApp Platform | Phase 2
84,NIM Framework | Framework for integrating AI services in Singularity Marketplace and bots in Matrix | Matrix Messenger
85,Implementing Fact-Checking Solution Using Large Language Models (LLMs)
86,Video summaries and timestamps leveraging LLMs
87,Livetree Founder
88,Multilingual Captioner
89,Remostart AI Interview Agent
90,Socious: AI-Based Job Matching for Social Good
91,"LOETWorld - Empathic Knowledge Graphing for Autism, ADHD & Dyslexic Talent (EKG)"
92,Bandidoc - AI Integration
93,"LOETWorld Generative Profile Builder for Autistic, ADHD, Dyslexic Talent "
94,AI Blueprint: Translating Human Language to Automated Workflows
95,"KataData, Synthetic Data Protocol "
96,Composable AI from Appstorm@Zero2AI
97,Decentralized landing page designing service with AI-powered lead scoring
98,DEMU - Music Licensing for Generative AI
99,Harmonica: LLM-powered chatbot for superfast deliberation
100,World Models of Memory 
102,Empowering Changemakers with an Ethically-Aligned AI assistant
103,X-Combinator: The World's Largest LLM AI Startup Incubator
104,The Self-Organisation Toolkit / The Cybernetic Playbook
105,AI training modules for deploying to SingularityNet AI marketplaceEmpowering Minds: Birble AI's Open-Source Machine Learning Training Courses for the Future of AI Education
106,Treasury Systems Knowledge Resources - Web 3 Association Sponsorship 2023
107,Real-Time Multi-Lingual Transcription Tool For SNET and Deepfunding Platforms
108,Deep Funding-Eastern Town Hall Operation & Onboarding Platform 
109,DeepFunding Academy - Phase 1: Genesis
110,Paraconsistent Metaverse-Building
111,DCONE BOT AI platform on Singularity
112,Conflict Resolution Bot
113,Bridging the Knowledge Gap: The 'Sense' Toolkit for Emerging Projects
114,Talent Bot
115,Alignment-Optimized Fundraising Tool for AI Research and Entrepreneurship
116,Expand DeepFunding Town Hall to Africa & LATAM
117,SingularityNet Marketplace ChatGPT plugin
118,Ecosystem strategy by the creators of Catalyst and Intersect
